idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
397,2,2,"02/10/23 00:00:00",14,1,210,250
398,2,2,"02/10/23 00:00:00",13,1,135,190
399,2,2,"02/10/23 00:00:00",25,18,5,10
400,2,2,"02/10/23 00:00:00",90,1,125,180
401,2,2,"02/10/23 00:00:00",13,4,135,190
402,2,2,"02/10/23 00:00:00",25,6,5,10
403,2,2,"02/10/23 00:00:00",13,9,135,190
404,2,2,"02/10/23 00:00:00",7,2,325,350
405,2,2,"02/11/23 00:00:00",72,3,200,250
406,2,2,"02/11/23 00:00:00",91,1,280,400
407,2,2,"02/11/23 00:00:00",22,1,24,200
408,2,2,"02/11/23 00:00:00",88,1,170,250
409,2,2,"02/11/23 00:00:00",95,1,1000,1200
410,2,2,"02/12/23 00:00:00",3,3,45,80
411,2,2,"02/12/23 00:00:00",86,6,115,130
412,2,2,"02/12/23 00:00:00",86,1,115,130
413,2,2,"02/12/23 00:00:00",90,2,125,180
414,2,2,"02/12/23 00:00:00",88,1,170,250
415,2,2,"02/12/23 00:00:00",17,18,325,500
416,2,2,"02/12/23 00:00:00",77,1,125,200
417,2,2,"02/12/23 00:00:00",7,2,325,350
418,2,2,"02/12/23 00:00:00",72,1,200,250
419,2,2,"02/12/23 00:00:00",90,1,125,180
420,2,2,"02/12/23 00:00:00",88,1,170,250
421,2,1,"02/14/23 00:00:00",13,119,135,190
422,2,1,"02/14/23 00:00:00",88,1,170,250
423,2,1,"02/14/23 00:00:00",7,1,325,350
424,2,2,"02/14/23 00:00:00",88,1,170,250
425,2,2,"02/14/23 00:00:00",88,2,170,250
426,2,2,"02/14/23 00:00:00",13,12,135,190
427,2,2,"02/15/23 00:00:00",3,3,45,80
428,2,2,"02/15/23 00:00:00",77,6,125,200
429,2,2,"02/15/23 00:00:00",86,6,115,130
430,2,2,"02/15/23 00:00:00",90,2,125,180
431,2,2,"02/15/23 00:00:00",88,1,170,250
432,2,2,"02/15/23 00:00:00",13,41,135,190
433,2,2,"02/15/23 00:00:00",95,1,1000,1200
434,2,2,"02/15/23 00:00:00",8,4,70,120
435,2,2,"02/15/23 00:00:00",88,1,170,250
436,2,2,"02/15/23 00:00:00",77,1,125,200
437,2,2,"02/15/23 00:00:00",90,1,125,180
438,2,2,"02/15/23 00:00:00",13,5,135,190
439,2,2,"02/16/23 00:00:00",88,4,170,250
440,2,2,"02/16/23 00:00:00",88,1,170,250
441,2,2,"02/16/23 00:00:00",7,1,325,350
442,2,2,"02/16/23 00:00:00",90,1,125,180
443,4,2,"03/07/23 00:00:00",57,1,2600,4000
444,4,2,"03/07/23 00:00:00",129,4,160,250
445,4,2,"03/07/23 00:00:00",24,1,40,100
446,1,2,"03/07/23 00:00:00",28,2,60,100
447,2,2,"03/07/23 00:00:00",13,6,270,380
448,2,2,"03/07/23 00:00:00",9,1,125,190
449,4,2,"03/07/23 00:00:00",51,1,2000,3000
450,5,2,"03/07/23 00:00:00",68,3,18,45
451,5,2,"03/07/23 00:00:00",37,1,55,100
452,5,2,"03/07/23 00:00:00",95,1,85,150
453,5,2,"03/07/23 00:00:00",52,1,250,375
454,5,1,"03/07/23 00:00:00",80,2,120,300
455,5,2,"03/07/23 00:00:00",100,1,185,320
456,5,2,"03/07/23 00:00:00",126,1,115,250
457,5,2,"03/07/23 00:00:00",113,1,1,200
458,5,2,"03/07/23 00:00:00",123,1,10,15
459,4,1,"03/07/23 00:00:00",77,325,300,550
460,5,1,"03/07/23 00:00:00",21,4,155,280
461,4,2,"03/07/23 00:00:00",104,1,98,250
462,5,2,"03/07/23 00:00:00",100,1,185,320
463,4,2,"03/07/23 00:00:00",47,6,112,200
464,4,2,"03/07/23 00:00:00",32,1,60,120
465,5,2,"03/08/23 00:00:00",1,1,160,250
466,5,1,"03/08/23 00:00:00",80,1,120,300
467,2,1,"03/09/23 00:00:00",95,5,85,150
468,2,1,"03/09/23 00:00:00",104,5,98,250
469,5,1,"03/11/23 00:00:00",92,1,370,550
470,4,1,"03/11/23 00:00:00",92,1,370,550
471,5,1,"03/11/23 00:00:00",138,2,115,250
472,5,1,"03/11/23 00:00:00",100,2,185,320
473,5,1,"03/11/23 00:00:00",99,2,110,220
474,5,1,"03/11/23 00:00:00",54,1,1800,3500
475,5,1,"03/11/23 00:00:00",66,30,10,35
476,4,1,"03/12/23 00:00:00",80,23,120,300
477,4,1,"03/13/23 00:00:00",24,30,40,100
478,2,1,"03/13/23 00:00:00",24,22,40,100
479,1,1,"03/13/23 00:00:00",34,1,200,375
480,3,1,"03/13/23 00:00:00",54,5,1800,3500
481,4,2,"03/13/23 00:00:00",46,1,900,1600
482,2,2,"03/13/23 00:00:00",100,1,185,320
483,2,2,"03/13/23 00:00:00",104,1,98,250
484,2,2,"03/13/23 00:00:00",29,1,60,100
485,2,2,"03/13/23 00:00:00",36,1,180,300
486,2,2,"03/13/23 00:00:00",52,1,250,375
487,2,2,"03/13/23 00:00:00",3,1,160,250
488,2,2,"03/13/23 00:00:00",1,2,160,250
489,2,2,"03/13/23 00:00:00",142,1,120,200
490,4,2,"03/13/23 00:00:00",63,12,410,650
491,2,2,"03/13/23 00:00:00",126,1,115,250
492,5,2,"03/13/23 00:00:00",80,2,120,300
493,5,2,"03/13/23 00:00:00",142,1,120,200
494,5,2,"03/13/23 00:00:00",95,1,85,180
495,5,2,"03/13/23 00:00:00",126,1,115,250
496,5,2,"03/13/23 00:00:00",23,1,30,80
497,5,2,"03/13/23 00:00:00",68,3,18,45
498,2,1,"03/13/23 00:00:00",55,4,2200,3500
499,5,2,"03/13/23 00:00:00",80,1,120,300
500,5,1,"03/13/23 00:00:00",71,16,75,150
501,5,2,"03/13/23 00:00:00",126,1,115,250
502,2,1,"03/14/23 00:00:00",21,1,155,280
503,5,2,"03/15/23 00:00:00",1,1,160,250
504,4,2,"03/15/23 00:00:00",26,1,60,100
505,4,2,"03/15/23 00:00:00",24,1,40,100
506,5,2,"03/15/23 00:00:00",148,5,125,190
